id,RelEv,TagDate,RelSite,RelLoc,RelDate,RelTime,wtempC,weight,FL,AirTime,CanID
36653,4,2016-02-20,S1,TISDALE,2016-02-21,2311,13,91.1,204,1:42,16
39359,7,2016-03-05,S1,TISDALE,2016-03-06,1441,14.1,91.3,199,1:52,12
39337,8,2016-03-05,S1,TISDALE,2016-03-06,2105,14.4,91.6,203,1:58,14
39496,13,2016-03-10,T2,TISDALE,2016-03-11,402,11,92.4,201,2:01,5
39859,19,2016-03-10,T3,TISDALE,2016-03-11,802,12.7,93.3,203,2:13,11
36482,2,2016-02-20,S1,TISDALE,2016-02-21,1046,11.4,93.4,204,1:38,7
39434,5,2016-03-05,S1,TISDALE,2016-03-06,306,14.1,94,197,2:20,2
38794,5,2016-03-05,S1,TISDALE,2016-03-06,301,14.1,95,205,1:44,1
36625,51,2016-03-16,S1,TISDALE,2016-03-17,1800,12.2,96.7,196,1:51,2
36736,2,2016-02-20,S1,TISDALE,2016-02-21,1043,11.4,99,206,NA,6
39526,31,2016-03-14,S1,TISDALE,2016-03-16,159,11.4,99.8,207,2:06,2
39453,12,2016-03-10,T1,TISDALE,2016-03-11,13,11,101.3,208,1:31,4
36648,1,2016-02-20,S1,TISDALE,2016-02-21,538,11.4,105.9,211,2:25,2
39531,31,2016-03-14,S1,TISDALE,2016-03-16,159,11.4,116.8,218,1:45,2
