RelEv,CanID,TagID,RelLoc,RelDate,RelTime
3,1,38971,TISDALE,2016-03-11,0003
3,1,38972,TISDALE,2016-03-11,0003
3,2,39440,TISDALE,2016-03-11,0007
3,2,39441,TISDALE,2016-03-11,0007
3,2,39443,TISDALE,2016-03-11,0007
3,2,39444,TISDALE,2016-03-11,0007
3,2,39445,TISDALE,2016-03-11,0007
3,2,36522,TISDALE,2016-03-11,0007
3,2,39484,TISDALE,2016-03-11,0007
3,2,39485,TISDALE,2016-03-11,0007
3,2,39486,TISDALE,2016-03-11,0007
3,2,39487,TISDALE,2016-03-11,0007
3,2,39488,TISDALE,2016-03-11,0007
3,3,36461,TISDALE,2016-03-11,0009
3,3,38931,TISDALE,2016-03-11,0009
3,3,38932,TISDALE,2016-03-11,0009
3,3,38933,TISDALE,2016-03-11,0009
3,3,38934,TISDALE,2016-03-11,0009
3,3,38935,TISDALE,2016-03-11,0009
3,3,38973,TISDALE,2016-03-11,0009
3,3,38974,TISDALE,2016-03-11,0009
3,3,38975,TISDALE,2016-03-11,0009
3,3,38976,TISDALE,2016-03-11,0009
3,3,38977,TISDALE,2016-03-11,0009
3,3,38978,TISDALE,2016-03-11,0009
3,4,39449,TISDALE,2016-03-11,0013
3,4,39450,TISDALE,2016-03-11,0013
3,4,39451,TISDALE,2016-03-11,0013
3,4,39452,TISDALE,2016-03-11,0013
3,4,39453,TISDALE,2016-03-11,0013
3,4,38930,TISDALE,2016-03-11,0013
3,4,36523,TISDALE,2016-03-11,0013
3,4,39491,TISDALE,2016-03-11,0013
3,4,39492,TISDALE,2016-03-11,0013
3,4,39493,TISDALE,2016-03-11,0013
3,4,39494,TISDALE,2016-03-11,0013
3,4,39495,TISDALE,2016-03-11,0013
3,5,36405,TISDALE,2016-03-11,0402
3,5,38936,TISDALE,2016-03-11,0402
3,5,38937,TISDALE,2016-03-11,0402
3,5,38938,TISDALE,2016-03-11,0402
3,5,38939,TISDALE,2016-03-11,0402
3,5,38940,TISDALE,2016-03-11,0402
3,5,39496,TISDALE,2016-03-11,0402
3,5,39497,TISDALE,2016-03-11,0402
3,5,39498,TISDALE,2016-03-11,0402
3,5,39499,TISDALE,2016-03-11,0402
3,5,39500,TISDALE,2016-03-11,0402
3,5,36529,TISDALE,2016-03-11,0402
3,6,39454,TISDALE,2016-03-11,0405
3,6,39455,TISDALE,2016-03-11,0405
3,6,39456,TISDALE,2016-03-11,0405
3,6,39457,TISDALE,2016-03-11,0405
3,6,39459,TISDALE,2016-03-11,0405
3,6,39460,TISDALE,2016-03-11,0405
3,6,38980,TISDALE,2016-03-11,0405
3,6,38981,TISDALE,2016-03-11,0405
3,6,38982,TISDALE,2016-03-11,0405
3,6,38984,TISDALE,2016-03-11,0405
3,6,38985,TISDALE,2016-03-11,0405
3,6,39490,TISDALE,2016-03-11,0405
3,7,36406,TISDALE,2016-03-11,0409
3,7,38941,TISDALE,2016-03-11,0409
3,7,38942,TISDALE,2016-03-11,0409
3,7,38943,TISDALE,2016-03-11,0409
3,7,38944,TISDALE,2016-03-11,0409
3,7,38945,TISDALE,2016-03-11,0409
3,7,39501,TISDALE,2016-03-11,0409
3,7,39502,TISDALE,2016-03-11,0409
3,7,39503,TISDALE,2016-03-11,0409
3,7,39504,TISDALE,2016-03-11,0409
3,7,39505,TISDALE,2016-03-11,0409
3,8,39461,TISDALE,2016-03-11,0411
3,8,39462,TISDALE,2016-03-11,0411
3,8,39463,TISDALE,2016-03-11,0411
3,8,39464,TISDALE,2016-03-11,0411
3,8,39465,TISDALE,2016-03-11,0411
3,8,39466,TISDALE,2016-03-11,0411
3,8,39506,TISDALE,2016-03-11,0411
3,8,36533,TISDALE,2016-03-11,0411
3,8,38986,TISDALE,2016-03-11,0411
3,8,38987,TISDALE,2016-03-11,0411
3,8,38988,TISDALE,2016-03-11,0411
3,8,38979,TISDALE,2016-03-11,0411
3,9,36408,TISDALE,2016-03-11,0755
3,9,38946,TISDALE,2016-03-11,0755
3,9,38947,TISDALE,2016-03-11,0755
3,9,38948,TISDALE,2016-03-11,0755
3,9,38949,TISDALE,2016-03-11,0755
3,9,39446,TISDALE,2016-03-11,0755
3,9,38989,TISDALE,2016-03-11,0755
3,9,38990,TISDALE,2016-03-11,0755
3,9,38991,TISDALE,2016-03-11,0755
3,9,38992,TISDALE,2016-03-11,0755
3,9,38993,TISDALE,2016-03-11,0755
3,9,38994,TISDALE,2016-03-11,0755
3,10,39467,TISDALE,2016-03-11,0759
3,10,39468,TISDALE,2016-03-11,0759
3,10,39469,TISDALE,2016-03-11,0759
3,10,39470,TISDALE,2016-03-11,0759
3,10,39471,TISDALE,2016-03-11,0759
3,10,39473,TISDALE,2016-03-11,0759
3,10,39852,TISDALE,2016-03-11,0759
3,10,39853,TISDALE,2016-03-11,0759
3,10,39854,TISDALE,2016-03-11,0759
3,10,39855,TISDALE,2016-03-11,0759
3,10,39856,TISDALE,2016-03-11,0759
3,10,39849,TISDALE,2016-03-11,0759
3,11,38950,TISDALE,2016-03-11,0802
3,11,38951,TISDALE,2016-03-11,0802
3,11,38952,TISDALE,2016-03-11,0802
3,11,38953,TISDALE,2016-03-11,0802
3,11,38954,TISDALE,2016-03-11,0802
3,11,39447,TISDALE,2016-03-11,0802
3,11,39857,TISDALE,2016-03-11,0802
3,11,39858,TISDALE,2016-03-11,0802
3,11,39859,TISDALE,2016-03-11,0802
3,11,39860,TISDALE,2016-03-11,0802
3,11,39283,TISDALE,2016-03-11,0802
3,11,39284,TISDALE,2016-03-11,0802
3,12,39474,TISDALE,2016-03-11,0803
3,12,39475,TISDALE,2016-03-11,0803
3,12,39476,TISDALE,2016-03-11,0803
3,12,39477,TISDALE,2016-03-11,0803
3,12,39478,TISDALE,2016-03-11,0803
3,12,39285,TISDALE,2016-03-11,0803
3,12,39287,TISDALE,2016-03-11,0803
3,12,39288,TISDALE,2016-03-11,0803
3,12,39289,TISDALE,2016-03-11,0803
3,12,39291,TISDALE,2016-03-11,0803
3,12,39292,TISDALE,2016-03-11,0803
3,13,38955,TOE DRAIN/TULE CANAL,2016-03-11,1406
3,13,38956,TOE DRAIN/TULE CANAL,2016-03-11,1406
3,13,38957,TOE DRAIN/TULE CANAL,2016-03-11,1406
3,13,38958,TOE DRAIN/TULE CANAL,2016-03-11,1406
3,13,38959,TOE DRAIN/TULE CANAL,2016-03-11,1406
3,13,39303,TOE DRAIN/TULE CANAL,2016-03-11,1406
3,13,39842,TOE DRAIN/TULE CANAL,2016-03-11,1406
3,13,39844,TOE DRAIN/TULE CANAL,2016-03-11,1406
3,13,39845,TOE DRAIN/TULE CANAL,2016-03-11,1406
3,13,39846,TOE DRAIN/TULE CANAL,2016-03-11,1406
3,13,39848,TOE DRAIN/TULE CANAL,2016-03-11,1406
3,14,39479,TOE DRAIN/TULE CANAL,2016-03-11,1407
3,14,39480,TOE DRAIN/TULE CANAL,2016-03-11,1407
3,14,39481,TOE DRAIN/TULE CANAL,2016-03-11,1407
3,14,39482,TOE DRAIN/TULE CANAL,2016-03-11,1407
3,14,39483,TOE DRAIN/TULE CANAL,2016-03-11,1407
3,14,39850,TOE DRAIN/TULE CANAL,2016-03-11,1407
3,14,39851,TOE DRAIN/TULE CANAL,2016-03-11,1407
3,14,39273,TOE DRAIN/TULE CANAL,2016-03-11,1407
3,14,39274,TOE DRAIN/TULE CANAL,2016-03-11,1407
3,14,39275,TOE DRAIN/TULE CANAL,2016-03-11,1407
3,14,39276,TOE DRAIN/TULE CANAL,2016-03-11,1407
3,15,38960,TOE DRAIN/TULE CANAL,2016-03-11,1412
3,15,38962,TOE DRAIN/TULE CANAL,2016-03-11,1412
3,15,38963,TOE DRAIN/TULE CANAL,2016-03-11,1412
3,15,38964,TOE DRAIN/TULE CANAL,2016-03-11,1412
3,15,38965,TOE DRAIN/TULE CANAL,2016-03-11,1412
3,15,38966,TOE DRAIN/TULE CANAL,2016-03-11,1412
3,15,39278,TOE DRAIN/TULE CANAL,2016-03-11,1412
3,15,39279,TOE DRAIN/TULE CANAL,2016-03-11,1412
3,15,39280,TOE DRAIN/TULE CANAL,2016-03-11,1412
3,15,39281,TOE DRAIN/TULE CANAL,2016-03-11,1412
3,15,39282,TOE DRAIN/TULE CANAL,2016-03-11,1412
3,16,39861,TOE DRAIN/TULE CANAL,2016-03-11,2007
3,16,39862,TOE DRAIN/TULE CANAL,2016-03-11,2007
3,16,39863,TOE DRAIN/TULE CANAL,2016-03-11,2007
3,16,39865,TOE DRAIN/TULE CANAL,2016-03-11,2007
3,16,39866,TOE DRAIN/TULE CANAL,2016-03-11,2007
3,16,39309,TOE DRAIN/TULE CANAL,2016-03-11,2007
3,16,39507,TOE DRAIN/TULE CANAL,2016-03-11,2007
3,16,39508,TOE DRAIN/TULE CANAL,2016-03-11,2007
3,16,39510,TOE DRAIN/TULE CANAL,2016-03-11,2007
3,16,39512,TOE DRAIN/TULE CANAL,2016-03-11,2007
3,16,39513,TOE DRAIN/TULE CANAL,2016-03-11,2007
3,17,39867,TOE DRAIN/TULE CANAL,2016-03-11,2008
3,17,39868,TOE DRAIN/TULE CANAL,2016-03-11,2008
3,17,39869,TOE DRAIN/TULE CANAL,2016-03-11,2008
3,17,39870,TOE DRAIN/TULE CANAL,2016-03-11,2008
3,17,39302,TOE DRAIN/TULE CANAL,2016-03-11,2008
3,17,39515,TOE DRAIN/TULE CANAL,2016-03-11,2008
3,17,39516,TOE DRAIN/TULE CANAL,2016-03-11,2008
3,17,38995,TOE DRAIN/TULE CANAL,2016-03-11,2008
3,17,38996,TOE DRAIN/TULE CANAL,2016-03-11,2008
3,17,38997,TOE DRAIN/TULE CANAL,2016-03-11,2008
3,17,39514,TOE DRAIN/TULE CANAL,2016-03-11,2008
3,18,39304,TOE DRAIN/TULE CANAL,2016-03-11,2014
3,18,39305,TOE DRAIN/TULE CANAL,2016-03-11,2014
3,18,39306,TOE DRAIN/TULE CANAL,2016-03-11,2014
3,18,39307,TOE DRAIN/TULE CANAL,2016-03-11,2014
3,18,39308,TOE DRAIN/TULE CANAL,2016-03-11,2014
3,18,38999,TOE DRAIN/TULE CANAL,2016-03-11,2014
3,18,39000,TOE DRAIN/TULE CANAL,2016-03-11,2014
3,18,39001,TOE DRAIN/TULE CANAL,2016-03-11,2014
3,18,39002,TOE DRAIN/TULE CANAL,2016-03-11,2014
3,18,39003,TOE DRAIN/TULE CANAL,2016-03-11,2014
3,18,39005,TOE DRAIN/TULE CANAL,2016-03-11,2014
3,19,39871,TOE DRAIN/TULE CANAL,2016-03-12,0157
3,19,39872,TOE DRAIN/TULE CANAL,2016-03-12,0157
3,19,39873,TOE DRAIN/TULE CANAL,2016-03-12,0157
3,19,39874,TOE DRAIN/TULE CANAL,2016-03-12,0157
3,19,39875,TOE DRAIN/TULE CANAL,2016-03-12,0157
3,19,39876,TOE DRAIN/TULE CANAL,2016-03-12,0157
3,19,39517,TOE DRAIN/TULE CANAL,2016-03-12,0157
3,19,39518,TOE DRAIN/TULE CANAL,2016-03-12,0157
3,19,39519,TOE DRAIN/TULE CANAL,2016-03-12,0157
3,19,39520,TOE DRAIN/TULE CANAL,2016-03-12,0157
3,19,39521,TOE DRAIN/TULE CANAL,2016-03-12,0157
3,20,39878,TOE DRAIN/TULE CANAL,2016-03-12,0158
3,20,39879,TOE DRAIN/TULE CANAL,2016-03-12,0158
3,20,39293,TOE DRAIN/TULE CANAL,2016-03-12,0158
3,20,39294,TOE DRAIN/TULE CANAL,2016-03-12,0158
3,20,39295,TOE DRAIN/TULE CANAL,2016-03-12,0158
3,20,39301,TOE DRAIN/TULE CANAL,2016-03-12,0158
3,20,39522,TOE DRAIN/TULE CANAL,2016-03-12,0158
3,20,39523,TOE DRAIN/TULE CANAL,2016-03-12,0158
3,20,39524,TOE DRAIN/TULE CANAL,2016-03-12,0158
3,20,39525,TOE DRAIN/TULE CANAL,2016-03-12,0158
3,20,39004,TOE DRAIN/TULE CANAL,2016-03-12,0158
3,21,39296,TOE DRAIN/TULE CANAL,2016-03-12,0204
3,21,39297,TOE DRAIN/TULE CANAL,2016-03-12,0204
3,21,39298,TOE DRAIN/TULE CANAL,2016-03-12,0204
3,21,39299,TOE DRAIN/TULE CANAL,2016-03-12,0204
3,21,39300,TOE DRAIN/TULE CANAL,2016-03-12,0204
3,21,39006,TOE DRAIN/TULE CANAL,2016-03-12,0204
3,21,39007,TOE DRAIN/TULE CANAL,2016-03-12,0204
3,21,39008,TOE DRAIN/TULE CANAL,2016-03-12,0204
3,21,39009,TOE DRAIN/TULE CANAL,2016-03-12,0204
3,21,39010,TOE DRAIN/TULE CANAL,2016-03-12,0204
3,21,39011,TOE DRAIN/TULE CANAL,2016-03-12,0204
4,1,39012,TISDALE,2016-03-15,1800
4,1,39013,TISDALE,2016-03-15,1800
4,1,39014,TISDALE,2016-03-15,1800
4,1,39015,TISDALE,2016-03-15,1800
4,1,39016,TISDALE,2016-03-15,1800
4,1,39017,TISDALE,2016-03-15,1800
4,1,36535,TISDALE,2016-03-15,1800
4,1,39054,TISDALE,2016-03-15,1800
4,1,39055,TISDALE,2016-03-15,1800
4,1,39056,TISDALE,2016-03-15,1800
4,1,39057,TISDALE,2016-03-15,1800
4,1,39058,TISDALE,2016-03-15,1800
4,1,39579,TISDALE,2016-03-15,1800
4,2,36479,TISDALE,2016-03-16,0159
4,2,39526,TISDALE,2016-03-16,0159
4,2,39529,TISDALE,2016-03-16,0159
4,2,39530,TISDALE,2016-03-16,0159
4,2,39531,TISDALE,2016-03-16,0159
4,2,39532,TISDALE,2016-03-16,0159
4,2,39533,TISDALE,2016-03-16,0159
4,2,39572,TISDALE,2016-03-16,0159
4,2,39573,TISDALE,2016-03-16,0159
4,2,39574,TISDALE,2016-03-16,0159
4,2,39576,TISDALE,2016-03-16,0159
4,2,39577,TISDALE,2016-03-16,0159
4,2,39578,TISDALE,2016-03-16,0159
4,3,39018,TISDALE,2016-03-16,1000
4,3,39019,TISDALE,2016-03-16,1000
4,3,39020,TISDALE,2016-03-16,1000
4,3,39021,TISDALE,2016-03-16,1000
4,3,39022,TISDALE,2016-03-16,1000
4,3,39024,TISDALE,2016-03-16,1000
4,3,39025,TISDALE,2016-03-16,1000
4,3,36591,TISDALE,2016-03-16,1000
4,3,39059,TISDALE,2016-03-16,1000
4,3,39060,TISDALE,2016-03-16,1000
4,3,39061,TISDALE,2016-03-16,1000
4,3,39063,TISDALE,2016-03-16,1000
4,3,39065,TISDALE,2016-03-16,1000
4,3,39066,TISDALE,2016-03-16,1000
4,4,36658,YOLO,2016-03-16,0725
4,4,39536,YOLO,2016-03-16,0725
4,4,39537,YOLO,2016-03-16,0725
4,4,39538,YOLO,2016-03-16,0725
4,4,39539,YOLO,2016-03-16,0725
4,4,39540,YOLO,2016-03-16,0725
4,4,39580,YOLO,2016-03-16,0725
4,4,39581,YOLO,2016-03-16,0725
4,4,39582,YOLO,2016-03-16,0725
4,4,39583,YOLO,2016-03-16,0725
4,4,39584,YOLO,2016-03-16,0725
4,5,39541,YOLO,2016-03-16,0726
4,5,39542,YOLO,2016-03-16,0726
4,5,39544,YOLO,2016-03-16,0726
4,5,39545,YOLO,2016-03-16,0726
4,5,39546,YOLO,2016-03-16,0726
4,5,36600,YOLO,2016-03-16,0726
4,5,39067,YOLO,2016-03-16,0726
4,5,39068,YOLO,2016-03-16,0726
4,5,39069,YOLO,2016-03-16,0726
4,5,39070,YOLO,2016-03-16,0726
4,5,39071,YOLO,2016-03-16,0726
4,6,39547,YOLO,2016-03-16,0726
4,6,36489,YOLO,2016-03-16,0726
4,6,39027,YOLO,2016-03-16,0726
4,6,39028,YOLO,2016-03-16,0726
4,6,39029,YOLO,2016-03-16,0726
4,6,39030,YOLO,2016-03-16,0726
4,6,39072,YOLO,2016-03-16,0726
4,6,39073,YOLO,2016-03-16,0726
4,6,39074,YOLO,2016-03-16,0726
4,6,39075,YOLO,2016-03-16,0726
4,6,39076,YOLO,2016-03-16,0726
4,6,39077,YOLO,2016-03-16,0726
4,7,39548,VERONA,2016-03-16,0625
4,7,39549,VERONA,2016-03-16,0625
4,7,39550,VERONA,2016-03-16,0625
4,7,39551,VERONA,2016-03-16,0625
4,7,39552,VERONA,2016-03-16,0625
4,7,36490,VERONA,2016-03-16,0625
4,7,36620,VERONA,2016-03-16,0625
4,7,39585,VERONA,2016-03-16,0625
4,7,39586,VERONA,2016-03-16,0625
