datePST,timePST,stage_ft
20160128,1015,28.11
20160128,1030,28.14
20160128,1045,28.11
20160128,1100,28.18
20160128,1115,27.18
20160128,1130,27.2
20160128,1145,27.12
20160128,1200,27.07
20160128,1215,27
20160128,1230,27.03
20160128,1245,27.03
20160128,1300,26.93
20160128,1315,26.95
20160128,1330,26.91
20160128,1345,26.91
20160128,1400,26.85
20160128,1415,26.86
20160128,1430,26.82
20160128,1445,26.82
20160128,1500,26.76
20160128,1515,26.82
20160128,1530,26.67
20160128,1545,26.72
20160128,1600,26.68
20160128,1615,26.67
20160128,1630,26.67
20160128,1645,26.6
20160128,1700,26.57
20160128,1715,26.61
20160128,1730,26.54
20160128,1745,26.53
20160128,1800,26.55
20160128,1815,26.46
20160128,1830,26.44
20160128,1845,26.39
20160128,1900,26.47
20160128,1915,26.37
20160128,1930,26.39
20160128,1945,26.37
20160128,2000,26.38
20160128,2015,26.34
20160128,2030,26.37
20160128,2045,26.28
20160128,2100,26.31
20160128,2115,26.25
20160128,2130,26.13
20160128,2145,26.24
20160128,2200,26.24
20160128,2215,26.21
20160128,2230,26.28
20160128,2245,26.09
20160128,2300,26.11
20160128,2315,26.03
20160128,2330,26.15
20160128,2345,26.14
20160129,0,26.33
20160129,15,26.4
20160129,30,26.33
20160129,45,25.95
20160129,100,25.94
20160129,115,25.91
20160129,130,25.85
20160129,145,25.89
20160129,200,25.91
20160129,215,25.85
20160129,230,25.81
20160129,245,25.8
20160129,300,25.74
20160129,315,25.75
20160129,330,25.72
20160129,345,25.67
20160129,400,25.66
20160129,415,25.67
20160129,430,25.68
20160129,445,25.6
20160129,500,25.6
20160129,515,25.54
20160129,530,25.6
20160129,545,25.56
20160129,600,25.66
20160129,615,25.63
20160129,630,25.64
20160129,645,25.64
20160129,700,25.32
20160129,715,25.32
20160129,730,25.33
20160129,745,25.3
20160129,800,25.22
20160129,815,25.21
20160129,830,25.27
20160129,845,25.18
20160129,900,25.17
20160129,915,25.14
20160129,930,25.1
20160129,945,25.13
20160129,1000,25.05
20160129,1015,25.08
20160129,1030,25.05
20160129,1045,25.08
20160129,1100,24.94
20160129,1115,24.91
20160129,1130,24.83
20160129,1145,24.9
20160129,1200,24.81
20160129,1215,24.84
20160129,1230,24.79
20160129,1245,24.82
20160129,1300,24.79
20160129,1315,24.73
20160129,1330,24.75
20160129,1345,24.71
20160129,1400,24.71
20160129,1415,24.67
20160129,1430,24.61
20160129,1445,24.64
20160129,1500,24.61
20160129,1515,24.58
20160129,1530,24.55
20160129,1545,24.5
20160129,1600,24.56
20160129,1615,24.53
20160129,1630,24.48
20160129,1645,24.51
20160129,1700,24.47
20160129,1715,24.45
20160129,1730,24.46
20160129,1745,24.45
20160129,1800,24.42
20160129,1815,24.43
20160129,1830,24.42
20160129,1845,24.42
20160129,1900,24.42
20160129,1915,24.4
20160129,1930,24.43
20160129,1945,24.41
20160129,2000,24.35
20160129,2015,24.37
20160129,2030,24.34
20160129,2045,24.34
20160129,2100,24.41
20160129,2115,24.46
20160129,2130,24.4
20160129,2145,24.37
20160129,2200,24.33
20160129,2215,24.33
20160129,2230,24.33
20160129,2245,24.27
20160129,2300,24.22
20160129,2315,24.29
20160129,2330,24.28
20160129,2345,24.16
20160130,0,24.14
20160130,15,24.22
20160130,30,24.18
20160130,45,24.18
20160130,100,24.13
20160130,115,24.13
20160130,130,24.12
20160130,145,24.13
20160130,200,24.11
20160130,215,24.15
20160130,230,24.1
20160130,245,24.06
20160130,300,24.02
20160130,315,24.06
20160130,330,24.11
20160130,345,24.01
20160130,400,24
20160130,415,23.99
20160130,430,24.03
20160130,445,24.11
20160130,500,24.08
20160130,515,23.97
20160130,530,23.96
20160130,545,24.1
20160130,600,23.97
20160130,615,23.93
20160130,630,23.95
20160130,645,24.03
20160130,700,24.09
20160130,715,23.92
20160130,730,23.97
20160130,745,24.03
20160130,800,23.97
20160130,815,24.17
20160130,830,24.06
20160130,845,24.12
20160130,900,24.1
20160130,915,24.15
20160130,930,24.14
20160130,945,24.25
20160130,1000,24.24
20160130,1015,24.26
20160130,1030,24.12
20160130,1045,24.29
20160130,1100,24.22
20160130,1115,23.71
20160130,1130,23.77
20160130,1145,23.83
20160130,1200,23.84
20160130,1215,23.9
20160130,1230,23.93
20160130,1245,24.05
20160130,1300,24.07
20160130,1315,24.11
20160130,1330,24.17
20160130,1345,24.19
20160130,1400,24.33
20160130,1415,24.35
20160130,1430,24.45
20160130,1445,24.54
20160130,1500,24.58
20160130,1515,24.64
20160130,1530,24.72
20160130,1545,24.82
20160130,1600,24.88
20160130,1615,24.98
20160130,1630,25.07
20160130,1645,25.11
20160130,1700,25.24
20160130,1715,25.26
20160130,1730,25.42
20160130,1745,25.55
20160130,1800,25.53
20160130,1815,25.69
20160130,1830,25.85
20160130,1845,25.82
20160130,1900,26.02
20160130,1915,26.11
20160130,1930,26.18
20160130,1945,26.31
20160130,2000,26.45
20160130,2015,26.49
20160130,2030,26.75
20160130,2045,26.82
20160130,2100,26.85
20160130,2115,26.89
20160130,2130,26.93
20160130,2145,26.98
20160130,2200,27.07
20160130,2215,27.04
20160130,2230,27.16
20160130,2245,27.33
20160130,2300,27.29
20160130,2315,27.53
20160130,2330,27.5
20160130,2345,27.63
20160131,0,27.7
20160131,15,27.84
20160131,30,27.9
20160131,45,27.9
20160131,100,27.97
20160131,115,28.05
20160131,130,28.15
20160131,145,28.27
20160131,200,28.45
20160131,215,28.43
20160131,230,28.51
20160131,245,28.52
20160131,300,28.5
20160131,315,28.53
20160131,330,28.54
20160131,345,28.68
20160131,400,28.72
20160131,415,28.7
20160131,430,28.9
20160131,445,28.86
20160131,500,28.98
20160131,515,29.09
20160131,530,28.96
20160131,545,29
20160131,600,29.06
20160131,615,29.21
20160131,630,29.14
20160131,645,29.13
20160131,700,29.23
20160131,715,29.24
20160131,730,29.24
20160131,745,29.39
20160131,800,29.33
20160131,815,29.51
20160131,830,29.37
20160131,845,29.49
20160131,900,29.48
20160131,915,29.64
20160131,930,29.57
20160131,945,29.54
20160131,1000,29.68
20160131,1015,29.66
