"","id","TagDate","RelSite","RelLoc","RelDate","RelTime","wtempC","weight","FL","AirTime","CanID","RelEv"
"89",36448,"2016-02-20","S1","TISDALE","2016-02-21","1039",11.4,58.1,174,"1:44",5,1
"90",36450,"2016-02-20","S1","TISDALE","2016-02-21","1039",11.4,20.3,124,"2:14",5,1
"91",36451,"2016-02-20","S1","TISDALE","2016-02-21","1039",11.4,34.9,135,"1:14",5,1
"92",36453,"2016-02-20","S1","TISDALE","2016-02-21","1039",11.4,37.5,152,"",5,1
"93",36454,"2016-02-20","S1","TISDALE","2016-02-21","1039",11.4,34.6,152,"2:14",5,1
"94",36456,"2016-02-20","S1","TISDALE","2016-02-21","2308",13,57.3,178,"1:54",15,1
"95",36457,"2016-02-20","S1","TISDALE","2016-02-21","2308",13,25.3,131,"1:59",15,1
"96",36458,"2016-02-20","S1","TISDALE","2016-02-21","2308",13,31.6,143,"1:53",15,1
"97",36459,"2016-02-20","S1","TISDALE","2016-02-21","2308",13,28.1,139,"1:48",15,1
"98",36460,"2016-02-20","S1","TISDALE","2016-02-21","2308",13,49.2,171,"1:47",15,1
"99",36461,"2016-03-10","T1","TISDALE","2016-03-11","9",11,14.3,111,"1:49",3,3
"100",36462,"2016-02-20","S1","TISDALE","2016-02-21","2308",13,40.6,155,"1:40",15,1
"101",36463,"2016-02-20","S1","TISDALE","2016-02-21","2308",13,23.6,133,"1:55",15,1
"102",36464,"2016-02-20","S1","TISDALE","2016-02-21","2308",13,54.1,174,"1:38",15,1
"103",36465,"2016-02-20","S1","TISDALE","2016-02-21","2301",13,32.2,148,"1:26",13,1
"104",36466,"2016-02-20","S1","TISDALE","2016-02-21","2301",13,85,199,"1:50",13,1
"105",36467,"2016-02-20","S1","TISDALE","2016-02-21","2301",13,61.7,180,"1:37",13,1
"106",36468,"2016-02-20","S1","TISDALE","2016-02-21","2301",13,41.1,160,"1:47",13,1
"107",36469,"2016-02-20","S1","TISDALE","2016-02-21","2301",13,43.7,159,"1:40",13,1
"108",36470,"2016-02-20","S1","TISDALE","2016-02-21","2301",13,18,120,"1:45",13,1
"109",36471,"2016-02-20","S1","TISDALE","2016-02-21","2301",13,63.7,180,"1:37",13,1
"110",36472,"2016-02-20","S1","TISDALE","2016-02-21","2301",13,33.2,145,"1:32",13,1
"111",36473,"2016-02-20","S1","TISDALE","2016-02-21","1046",11.4,50.7,172,"1:41",7,1
"112",36474,"2016-02-20","S1","TISDALE","2016-02-21","1046",11.4,34.5,148,"1:39",7,1
"113",36475,"2016-02-20","S1","TISDALE","2016-02-21","1046",11.4,31.4,144,"1:36",7,1
"114",36476,"2016-02-20","S1","TISDALE","2016-02-21","1046",11.4,21,123,"1:48",7,1
"115",36478,"2016-02-20","S1","TISDALE","2016-02-21","1046",11.4,39.4,155,"1:48",7,1
"116",36479,"2016-03-14","S1","TISDALE","2016-03-16","159",11.4,36.8,152,"1:22",2,4
"117",36480,"2016-02-20","S1","TISDALE","2016-02-21","1046",11.4,27.4,140,"1:39",7,1
"118",36481,"2016-02-20","S1","TISDALE","2016-02-21","1046",11.4,68.8,184,"1:36",7,1
"119",36482,"2016-02-20","S1","TISDALE","2016-02-21","1046",11.4,93.4,204,"1:38",7,1
"120",36483,"2016-02-20","S1","TISDALE","2016-02-21","1039",11.4,67.3,178,"1:30",5,1
"121",36484,"2016-02-20","S1","TISDALE","2016-02-21","1039",11.4,21.9,128,"1:44",5,1
"122",36485,"2016-02-20","S1","TISDALE","2016-02-21","1039",11.4,63.6,180,"1:39",5,1
"123",36486,"2016-02-20","S1","TISDALE","2016-02-21","1039",11.4,69.1,180,"1:39",5,1
"124",36487,"2016-02-20","S1","TISDALE","2016-02-21","1039",11.4,35.1,149,"1:37",5,1
"125",36488,"2016-02-20","S1","TISDALE","2016-02-21","1039",11.4,32.1,144,"1:26",5,1
"126",36491,"2016-02-20","S1","TISDALE","2016-02-21","1039",11.4,45,158,"1:24",5,1
"127",36492,"2016-02-20","S1","TISDALE","2016-02-21","1039",11.4,42.2,155,"1:49",5,1
"128",36494,"2016-02-20","S1","TISDALE","2016-02-21","538",11.4,62.3,182,"2:50",2,1
"129",36495,"2016-02-20","S1","TISDALE","2016-02-21","538",11.4,40.8,153,"1:47",2,1
"130",36497,"2016-02-20","S1","TISDALE","2016-02-21","538",11.4,85.8,194,"1:47",2,1
"131",36498,"2016-02-20","S1","TISDALE","2016-02-21","538",11.4,29.8,139,"1:47",2,1
"132",36499,"2016-02-20","S1","TISDALE","2016-02-21","538",11.4,75.3,189,"1:48",2,1
"133",36501,"2016-02-20","S1","TISDALE","2016-02-21","538",11.4,51.7,168,"1:50",2,1
"134",36502,"2016-02-20","S1","TISDALE","2016-02-21","538",11.4,46.7,168,"1:47",2,1
"135",36503,"2016-02-20","S1","TISDALE","2016-02-21","538",11.4,87.4,197,"1:40",2,1
"136",36504,"2016-02-20","S1","TISDALE","2016-02-21","538",11.4,62.4,176,"1:41",4,1
"137",36505,"2016-02-20","S1","TISDALE","2016-02-21","538",11.4,25.6,135,"1:27",4,1
